"Node1","Node2"
"ANN","AMY"
"ANN","KATY"
"ANN","PETE"
"ANN","TINA"
"ANN","LISA"
"ANN","PRESIDENT"
"ANN","MARY"
"ANN","ROSE"
"AMY","ANN"
"AMY","KATY"
"AMY","BILL"
"AMY","PETE"
"AMY","TINA"
"AMY","LISA"
"KATY","ANN"
"KATY","AMY"
"KATY","PETE"
"KATY","TINA"
"KATY","LISA"
"BILL","AMY"
"BILL","ANDY"
"BILL","MINNA"
"PETE","ANN"
"PETE","AMY"
"PETE","KATY"
"PETE","TINA"
"PETE","ANDY"
"PETE","LISA"
"PETE","PRESIDENT"
"PETE","EMMA"
"TINA","ANN"
"TINA","AMY"
"TINA","KATY"
"TINA","PETE"
"TINA","LISA"
"ANDY","BILL"
"ANDY","PETE"
"ANDY","MINNA"
"LISA","ANN"
"LISA","AMY"
"LISA","KATY"
"LISA","PETE"
"LISA","TINA"
"LISA","PRESIDENT"
"LISA","EMMA"
"PRESIDENT","ANN"
"PRESIDENT","PETE"
"PRESIDENT","LISA"
"PRESIDENT","EMMA"
"MINNA","BILL"
"MINNA","ANDY"
"MINNA","EMMA"
"MARY","ANN"
"MARY","EMMA"
"EMMA","PETE"
"EMMA","LISA"
"EMMA","PRESIDENT"
"EMMA","MINNA"
"EMMA","MARY"
"EMMA","ROSE"
"EMMA","MIKE"
"EMMA","PEG"
"ROSE","ANN"
"ROSE","EMMA"
"MIKE","EMMA"
"PEG","EMMA"
